Warszawa;1764615
Kraków;767348
Łódź;690422
Wrocław;638586
Poznań;538633
Gdańsk;464254
Szczecin;403883
Bydgoszcz;352313
Lublin;339850
Białystok;297288
Katowice;296262
Gdynia;246306
Częstochowa;224376
Radom;214566
Sosnowiec;204013
Toruń;202562
Kielce;196804
Rzeszów;189662
Gliwice;181309
Zabrze;174349
Olsztyn;173070
Bielsko-Biała;171505
Bytom;168394
Zielona Góra;139819
Rybnik;139129
Ruda Śląska;138578
Tychy;128211
Opole;128140
Gorzów Wielkopolski;124295
Dąbrowa Górnicza;121121
Elbląg;120895
Płock;120787
Wałbrzych;113621
Włocławek;111752
Tarnów;109650
Chorzów;109021
Koszalin;107670
Kalisz;101625
Legnica;100324
Grudziądz;95629
Jaworzno;92090
Słupsk;91465
Jastrzębie-Zdrój;89590
Nowy Sącz;84041
Jelenia Góra;80072
Siedlce;77653
Konin;74834
Mysłowice;74647
Piotrków Trybunalski;74312
Piła;73791
Inowrocław;73577
Lubin;72892
Ostrów Wielkopolski;72364
Ostrowiec Świętokrzyski;69852
Suwałki;69554
Gniezno;68943
Stargard;68195
Głogów;68179
Siemianowice Śląskie;67523
Pabianice;65823
Zamość;64354
Leszno;64197
Chełm;63333
Tomaszów Mazowiecki;63238
Łomża;63092
Żory;62243
Stalowa Wola;61903
Przemyśl;61808
Kędzierzyn-Koźle;61661
Ełk;61523
Tarnowskie Góry;61262
Pruszków;61237
Mielec;60628
Tczew;60257
Bełchatów;57964
Świdnica;57671
Biała Podlaska;57545
Będzin;57343
Zgierz;56690
Piekary Śląskie;55652
Racibórz;55189
Legionowo;54041
Ostrołęka;52451
Świętochłowice;50385
Wejherowo;49927
Zawiercie;49908
Starachowice;49513
Rumia;48632
Wodzisław Śląski;48345
Skierniewice;48308
Puławy;48114
Starogard Gdański;48060
Piaseczno;47660
Tarnobrzeg;47387
Krosno;46600
Kołobrzeg;46568
Radomsko;46409
Dębica;46063
Skarżysko-Kamienna;45953
Otwock;44873
Kutno;44513
Nysa;44397
Ciechanów;44303
Sieradz;42570
Zduńska Wola;42374
Świnoujście;41032
Mikołów;40423
Mińsk Mazowiecki;40399
Szczecinek;40292
Żyrardów;40243
Chojnice;39937
Świdnik;39732
Nowa Sól;39098
Bolesławiec;39084
Malbork;38723
Oświęcim;38678
Knurów;38594
Kwidzyn;38553
Sanok;37980
Żary;37907
Jarosław;37892
Oleśnica;37300
Wołomin;37164
Chrzanów;37123
Sochaczew;36790
Sopot;36533
Brzeg;36110
Olkusz;35921
Czechowice-Dziedzice;35795
Ząbki;35770
Jasło;35445
Lębork;35413
Cieszyn;34876
Kraśnik;34821
Dzierżoniów;33653
Nowy Targ;33361
Ostróda;33243
Iława;33132
Police;32970
Oława;32883
Marki;32686
Myszków;31974
Czeladź;31901
Luboń;31653
Żywiec;31560
Mława;31243
Grodzisk Mazowiecki;30955
Swarzędz;30739
Zgorzelec;30738
Pruszcz Gdański;30468
Łuków;30310
Września;30279
Augustów;30270
Bielawa;30207
Bochnia;29992
Śrem;29845
Giżycko;29480
Krotoszyn;29109
Brodnica;28717
Łowicz;28704
Nowy Dwór Mazowiecki;28637
Czerwionka-Leszczyny;28329
Gorlice;27781
Kętrzyn;27478
Turek;27311
Zakopane;27266
Kłodzko;27193
Wyszków;26965
Biłgoraj;26550
Jarocin;26245
Żagań;26148
Świecie;25924
Pszczyna;25906
Bielsk Podlaski;25611
Wągrowiec;25607
Wałcz;25533
Reda;25102
Białogard;24368
Skawina;24325
Kościan;23907
Lubliniec;23899
Sandomierz;23863
Bartoszyce;23810
Kościerzyna;23809
Kluczbork;23797
Szczytno;23500
Jawor;23266
Środa Wielkopolska;23162
Kobyłka;23120
Wieliczka;22946
Świebodzice;22840
Wieluń;22794
Piastów;22732
Ostrów Mazowiecka;22656
Goleniów;22553
Polkowice;22504
Nowa Ruda;22455
Łaziska Górne;22390
Koło;22227
Płońsk;22214
Zambrów;22173
Lubartów;22138
Grajewo;22049
Świebodzin;21954
Mrągowo;21889
Rydułtowy;21700
Aleksandrów Łódzki;21535
Opoczno;21534
Gryfino;21393
Działdowo;21370
Lubań;21318
Prudnik;21237
Hajnówka;20919
Orzesze;20773
Andrychów;20567
Józefów;20488
Rawicz;20406
Gostyń;20182
Trzebinia;19954
Chełmno;19911
Ozorków;19685
Sulejówek;19663
Bieruń;19639
Końskie;19534
Pułtusk;19448
Pisz;19386
Tomaszów Lubelski;19365
Kamienna Góra;19348
Łęczna;19167
Sokołów Podlaski;18924
Krasnystaw;18912
Kęty;18886
Chodzież;18877
Wadowice;18851
Szamotuły;18835
Gostynin;18720
Pionki;18618
Nakło nad Notecią;18531
Złotów;18441
Pyskowice;18417
Myślenice;18415
Oborniki;18341
Sokółka;18331
Międzyrzecz;18255
Sierpc;18148
StrzelceOpolskie;18057
Konstantynów Łódzki;18013
Kostrzyn nad Odrą;17918
Hrubieszów;17903
Radlin;17861
Łańcut;17777
Bogatynia;17762
Zielonka;17539
Kozienice;17518
Łask;17484
Rawa Mazowiecka;17480
Pleszew;17437
Garwolin;17381
Trzcianka;17228
Przasnysz;17223
Konstancin-Jeziorna;17191
Libiąż;17135
Braniewo;17074
Sulechów;17012
Bytów;16983
Międzyrzec Podlaski;16925
Brzesko;16884
Łomianki;16875
Lędziny;16819
Słubice;16816
Radzionków;16798
Nowogard;16756
Gubin;16740
Grójec;16674
Gryfice;16600
Olecko;16508
Krapkowice;16500
Rypin;16482
Dęblin;16398
Milanówek;16398
Namysłów;16360
Strzegom;16272
Ustroń;16108
Busko-Zdrój;16092
Lidzbark Warmiński;15877
Jelcz-Laskowice;15867
Ropczyce;15848
Radzyń Podlaski;15808
Złotoryja;15783
Świdwin;15725
Ustka;15709
Łapy;15689
Solec Kujawski;15661
Boguszów-Gorce;15566
Przeworsk;15452
Jędrzejów;15369
Nisko;15355
Choszczno;15352
Ząbkowice Śląskie;15219
Limanowa;15103
Staszów;14942
Nowy Tomyśl;14702
Chełmża;14645
Kartuzy;14611
Grodzisk Wielkopolski;14595
Lipno;14592
Siemiatycze;14590
Skoczów;14504
Głowno;14422
Ostrzeszów;14325
Łęczyca;14252
Kępno;14190
Lubsko;14182
Pszów;14114
Wschowa;14084
Żnin;14041
Morąg;13994
Leżajsk;13990
Dębno;13931
Darłowo;13924
Nidzica;13872
Człuchów;13869
Barlinek;13853
Słupca;13851
Tuchola;13793
Mosina;13762
Wąbrzeźno;13749
Gołdap;13740
Głuchołazy;13735
Chojnów;13573
Brwinów;13533
Włodawa;13350
Wolsztyn;13328
Trzebnica;13261
Koluszki;13148
Złocieniec;13068
Kłobuck;13014
Rabka-Zdrój;12883
Golub-Dobrzyń;12828
Węgrów;12765
Pyrzyce;12709
Radzymin;12644
Głubczyce;12624
Sławno;12590
Brzeziny;12534
Niepołomice;12507
Brzeg Dolny;12486
Wołów;12439
Strzelin;12423
Błonie;12354
Pasłęk;12298
Aleksandrów Kujawski;12270
Lubaczów;12101
Mogilno;11995
Góra;11994
Janów Lubelski;11986
Szprotawa;11944
GóraKalwaria;11942
Dąbrowa Tarnowska;11924
Warka;11894
Szydłowiec;11854
Miechów;11696
Drawsko Pomorskie;11672
Zdzieszowice;11633
Krosno Odrzańskie;11524
Milicz;11482
Węgorzewo;11438
Brzeszcze;11345
Myślibórz;11328
Ożarów Mazowiecki;11311
Wronki;11293
Puck;11265
Koronowo;11230
Nowa Dęba;11215
Rogoźno;11115
Wisła;11106
Kowary;11090
Wasilków;11074
Nowe Miasto Lubawskie;10997
Pińczów;10946
Czarnków;10784
Krynica-Zdrój;10757
Parczew;10748
Międzychód;10660
Miastko;10605
Ciechocinek;10586
Biskupiec;10539
Syców;10413
Murowana Goślina;10391
Kolno;10372
Łobez;10299
Bukowno;10297
Dobre Miasto;10293
Drezdenko;10282
Lubawa;10269
Bystrzyca Kłodzka;10239
Sulęcin;10168
Sztum;10127
Włoszczowa;10096
Krzeszowice;10090
Mońki;10042
Trzebiatów;10025
Kudowa-Zdrój;10018
Strzelce Krajeńskie;10012
Władysławowo;10009
Nowy Dwór Gdański;9964
Karczew;9960
Czersk;9909
Maków Mazowiecki;9860
Ryki;9768
Kostrzyn;9711
Puszczykowo;9693
Blachownia;9676
Skwierzyna;9669
Opalenica;9664
Szubin;9602
Kożuchów;9520
Środa Śląska;9428
Czarna Białostocka;9402
Olesno;9400
Wysokie Mazowieckie;9390
Poniatowa;9320
Sucha Beskidzka;9295
Sępólno Krajeńskie;9243
Ustrzyki Dolne;9176
Kolbuszowa;9158
Pobiedziska;9139
Oborniki Śląskie;9118
Chełmek;9090
Imielin;9052
Stary Sącz;9020
Wojkowice;8984
Żuromin;8941
Kruszwica;8926
Orneta;8924
Lwówek Śląski;8895
Strzyżów;8893
Kamień Pomorski;8868
Janikowo;8844
Ozimek;8807
Ziębice;8796
Prabuty;8710
Grodków;8700
Wolbrom;8686
Jastrowie;8662
Kalety;8627
Opole Lubelskie;8605
Wieruszów;8600
Poręba;8581
Suchedniów;8478
Żychlin;8288
Połaniec;8181
Połczyn-Zdrój;8181
Tłuszcz;8127
Pniewy;8037
Chocianów;7996
Mszana Dolna;7982
Pelplin;7912
Lidzbark;7900
Witkowo;7873
Zwoleń;7855
Kórnik;7793
Trzemeszno;7752
Praszka;7724
Nasielsk;7701
Olsztynek;7677
Zelów;7665
Paczków;7600
Poddębice;7530
Sędziszów Małopolski;7524
Barcin;7516
Barczewo;7472
Brzozów;7471
Chojna;7440
Miasteczko Śląskie;7419
Siechnice;7410
Tuszyn;7293
Zbąszyń;7265
Zawadzkie;7250
Gniewkowo;7202
Pieszyce;7170
Czaplinek;7155
Skarszewy;7103
Łosice;7096
Sławków;7040
Białobrzegi;7015
Sobótka;6951
Łazy;6882
Łochów;6848
Kąty Wrocławskie;6846
Witnica;6821
Żarów;6811
Pajęczno;6792
Gniew;6791
Twardogóra;6784
Rudnik nad Sanem;6728
Tuchów;6693
Gryfów Śląski;6684
Szklarska Poręba;6681
Żukowo;6677
Sianów;6666
Otmuchów;6647
Gogolin;6640
Sułkowice;6614
Bełżyce;6608
Rzepin;6590
Koźmin Wielkopolski;6590
Kłodawa;6530
Opatów;6516
Sędziszów;6494
Piława Górna;6479
Żmigród;6472
Mszczonów;6433
Głuszyca;6431
Niemodlin;6431
Głogów Małopolski;6431
Dobczyce;6425
Polanica-Zdrój;6381
Piechowice;6314
Sulejów;6226
Krzyż Wielkopolski;6222
Przemków;6217
Dynów;6146
Lubawka;6106
Boguchwała;6096
Buk;6096
Grybów;6089
Proszowice;6088
Kietrz;6061
Sieraków;6046
Koniecpol;6002
Wieleń;5988
Czarne;5983
Nowa Sarzyna;5970
Więcbork;5969
Wołczyn;5958
Stęszew;5952
Działoszyn;5950
Karlino;5950
Przysucha;5934
Piwniczna-Zdrój;5925
Maków Podhalański;5919
Nowe;5913
Pieńsk;5866
Choroszcz;5834
Szczawnica;5807
LewinBrzeski;5774
Jedlicze;5761
Stronie Śląskie;5755
Stąporków;5754
Pakość;5744
Śmigiel;5719
Strzelno;5701
Szczyrk;5699
Lądek-Zdrój;5685
Ścinawa;5677
Szczawno-Zdrój;5650
Radziejów;5638
Dąbrowa Białostocka;5632
Kazimierza Wielka;5619
Orzysz;5615
Głogówek;5607
Terespol;5594
Lipsko;5592
Susz;5586
Lesko;5532
Siewierz;5520
Sejny;5472
Międzyzdroje;5422
Dzierzgoń;5413
Kuźnia Raciborska;5402
Jordanów;5362
Radymno;5335
Czempiń;5296
Szczytna;5242
Brusy;5209
Nowogród Bobrzański;5172
Jaworzyna Śląska;5164
Wyrzysk;5163
Odolanów;5155
Debrzno;5152
Szczebrzeszyn;5117
Zagórz;5105
Bolków;5047
Zbąszynek;5042
Borne Sulinowo;4984
Bychawa;4976
Bierutów;4935
Muszyna;4909
Pilzno;4892
Jedlina-Zdrój;4887
Łaskarzew;4879
Wolin;4842
Iłża;4832
Nowe Skalmierzyce;4798
Duszniki-Zdrój;4728
Karpacz;4711
Kcynia;4678
Brześć Kujawski;4660
Ciechanowiec;4655
Biecz;4629
Supraśl;4621
Reszel;4615
Ożarów;4594
Ruciane-Nida;4579
Pilawa;4557
Kalwaria Zebrzydowska;4551
Zduny;4543
Żarki;4539
Leśna;4532
Łabiszyn;4501
Golina;4493
Piotrków Kujawski;4490
Krzepice;4488
Raciąż;4437
Krośniewice;4426
Chęciny;4421
Kalisz Pomorski;4399
Rejowiec Fabryczny;4396
Mrocza;4395
Woźniki;4393
Skaryszew;4375
BytomOdrzański;4365
Słomniki;4359
Serock;4353
Jasień;4348
Olszyna;4347
Korsze;4346
Skoki;4314
Ogrodzieniec;4313
Sława;4311
Krobia;4304
Szamocin;4302
Resko;4255
Żabno;4248
Nowogrodziec;4244
Zawidów;4232
Kleczew;4212
Świeradów-Zdrój;4209
Nowy Staw;4196
Kowalewo Pomorskie;4192
Szczucin;4163
Mieroszów;4147
Sokołów Małopolski;4133
Gąbin;4127
Tarczyn;4105
Czerwieńsk;4094
Bobolice;4061
Biała Piska;4041
Górowo Iławeckie;4021
Janowiec Wielkopolski;4016
Tułowice;4000
Płoty;3995
Żelechów;3994
Lipiany;3982
Iłowa;3947
Mirsk;3938
Okonek;3929
Babimost;3923
Ośno Lubuskie;3911
Podkowa Leśna;3875
Drzewica;3865
Mikołajki;3852
Nowe Miasto nad Pilicą;3830
Małogoszcz;3809
Tyczyn;3805
Rymanów;3792
Brańsk;3785
Jabłonowo Pomorskie;3782
Pruchnik;3772
Skała;3770
Kargowa;3766
Chmielnik;3752
Nałęczów;3750
Dobrodzień;3749
Barwice;3742
Ujście;3738
Opatówek;3723
Nekla;3719
Halinów;3718
Wojcieszów;3696
Strumień;3696
Łeba;3694
Zator;3691
Mieszkowice;3681
Szczekociny;3679
Krajenka;3678
Byczyna;3651
Prochowice;3646
Kępice;3646
Przedbórz;3615
Skórcz;3609
Skępe;3607
Toszek;3596
Miłosław;3589
Sompolno;3587
Mrozy;3576
Rakoniewice;3571
Kowal;3544
Małomice;3512
Stryków;3493
Szczuczyn;3426
Myszyniec;3397
Tarnogród;3395
Rzgów;3385
Alwernia;3380
Hel;3373
Wojnicz;3365
Złoczew;3351
Kock;3342
Maszewo;3342
Kolonowskie;3324
Tuliszków;3322
Łasin;3320
Gołańcz;3294
Miejska Górka;3261
Warta;3258
Jeziorany;3258
Kobylin;3256
Zwierzyniec;3235
Radoszyce;3217
Zakroczym;3211
Biała Rawska;3206
Chociwel;3183
Kańczuga;3182
Radomyśl Wielki;3167
Pyzdry;3164
Dobrzyca;3153
Krasnobród;3138
Ślesin;3135
Bobowa;3123
Gozdnica;3100
Dobiegniew;3087
Michałowo;3073
Chorzele;3069
Wilamowice;3065
Mirosławiec;3065
Lubraniec;3052
Oleszyce;3041
Glinojeck;3027
Zagórów;3024
Zaklików;3017
Ćmielów;3014
Uniejów;3011
Margonin;3011
Mielno;3000
Lwówek;2999
Niemcza;2981
Łobżenica;2971
Kunów;2970
Polanów;2949
Bojanowo;2940
Baborów;2933
Recz;2930
Kałuszyn;2927
Drobin;2925
Daleszyce;2914
Sulmierzyce;2899
Węgliniec;2868
Ryn;2865
Węgorzyno;2865
Czarna Woda;2841
Poniec;2841
Ryglice;2831
Złoty Stok;2821
Nowe Miasteczko;2816
Kamieńsk;2812
Rydzyna;2811
Pieniężno;2802
Wąchock;2795
Knyszyn;2782
Radłów;2780
Cybinka;2755
Różan;2755
Książ Wielkopolski;2749
Jastarnia;2736
Nowy Wiśnicz;2728
Tolkmicko;2719
Brzostek;2714
Dziwnów;2707
Wąsosz;2688
Wysoka;2688
Golczewo;2686
Izbica Kujawska;2677
Leśnica;2668
Czyżew;2640
Wyszogród;2634
Kłecko;2631
Międzylesie;2623
Czerniejewo;2620
Miłakowo;2609
Kazimierz Dolny;2607
Bardo;2603
Prószków;2603
Piaski;2598
Pełczyce;2597
Annopol;2572
Stoczek Łukowski;2556
Pasym;2549
Torzym;2529
Borek Wielkopolski;2523
Łęknica;2500
Józefów;2498
Koprzywnica;2497
Tychowo;2495
Stepnica;2478
Zabłudów;2476
Ciężkowice;2470
Lubycza Królewska;2469
Biała;2454
GorzówŚląski;2451
Miłomłyn;2449
Trzciel;2445
Gościno;2436
Radków;2427
Krynki;2424
Koziegłowy;2424
Świątniki Górne;2422
Bisztynek;2417
Kamień Krajeński;2394
Frombork;2389
Czchów;2380
Rychwał;2379
Obrzycko;2378
Lipsk;2376
Międzybórz;2362
Dobra;2353
Wolbórz;2336
Człopa;2326
Osieczna;2322
Świerzawa;2315
Drawno;2307
Trzcińsko-Zdrój;2297
Wiązów;2296
Mogielnica;2294
Dobrzany;2288
Bodzentyn;2238
Prusice;2235
Stawiski;2229
Szepietowo;2209
Suchowola;2196
Łaszczów;2190
Nowogród;2173
Biały Bór;2171
Krzanowice;2168
Zalewo;2165
Dobrzyń nad Wisłą;2161
Błaszki;2158
Błażowa;2148
Sieniawa;2146
Kisielice;2135
Tyszowce;2120
KosówLacki;2120
Żerków;2120
Narol;2102
Raszków;2101
Dukla;2098
Pogorzela;2098
Ostrów Lubelski;2095
Rejowiec;2084
Lubniewice;2019
Dąbie;2017
Drohiczyn;2011
Osiek;2004
Lubomierz;2002
Sanniki;1994
Tykocin;1980
Sępopol;1970
Pilica;1967
Jutrosin;1966
Ińsko;1965
Szadek;1957
Brok;1955
Grabów nad Prosną;1941
Ostroróg;1941
Cieszanów;1940
Tuczno;1931
Nieszawa;1914
Chodecz;1885
Sośnicowice;1881
Bieżuń;1875
Mikstat;1866
Radzyń Chełmiński;1851
Korfantów;1842
Goniądz;1827
Chocz;1811
Wleń;1806
Iwonicz-Zdrój;1798
Zawichost;1793
Młynary;1792
Mordy;1780
Ujazd;1770
Wielichowo;1767
Przecław;1748
Morawica;1730
Krzywiń;1714
Urzędów;1703
Przedecz;1690
Nowe Brzesko;1674
Zakliczyn;1656
Cedynia;1625
Jedwabne;1624
Moryń;1620
Otyń;1589
Łagów;1573
Rajgród;1571
Dolsk;1569
Stawiszyn;1530
Suchań;1490
Baranów Sandomierski;1477
Modliborzyce;1469
Jaraczewo;1467
Kołaczyce;1434
Stopnica;1434
Frampol;1433
Siedliszcze;1418
Ulanów;1405
Górzno;1403
Dobra;1396
Lubień Kujawski;1391
Krynica Morska;1302
Kleszczele;1297
Skalbmierz;1292
Szlichtyngowa;1289
Nowe Warpno;1196
Suraż;992
Józefów nad Wisłą;929
Działoszyce;913
Wyśmierzyce;896
Wiślica;500
